Year,Feature_Name,Landcover_Class
2025,Island County,Open Space
2025,Island County,Low Intensity
2025,Island County,Medium Intensity
2025,Island County,High Intensity
2025,Island County,Forest
2025,Island County,Agriculture
2025,Clallam County,Open Space
2025,Clallam County,Low Intensity
2025,Clallam County,Medium Intensity
2025,Clallam County,High Intensity
2025,Clallam County,Forest
2025,Clallam County,Agriculture
2025,King County,Open Space
2025,King County,Low Intensity
2025,King County,Medium Intensity
2025,King County,High Intensity
2025,King County,Forest
2025,King County,Agriculture
2025,Snohomish County,Open Space
2025,Snohomish County,Low Intensity
2025,Snohomish County,Medium Intensity
2025,Snohomish County,High Intensity
2025,Snohomish County,Forest
2025,Snohomish County,Agriculture
2025,Whatcom County,Open Space
2025,Whatcom County,Low Intensity
2025,Whatcom County,Medium Intensity
2025,Whatcom County,High Intensity
2025,Whatcom County,Forest
2025,Whatcom County,Agriculture
2025,Pierce County,Open Space
2025,Pierce County,Low Intensity
2025,Pierce County,Medium Intensity
2025,Pierce County,High Intensity
2025,Pierce County,Forest
2025,Pierce County,Agriculture
2025,Thurston County,Open Space
2025,Thurston County,Low Intensity
2025,Thurston County,Medium Intensity
2025,Thurston County,High Intensity
2025,Thurston County,Forest
2025,Thurston County,Agriculture
2025,Jefferson County,Open Space
2025,Jefferson County,Low Intensity
2025,Jefferson County,Medium Intensity
2025,Jefferson County,High Intensity
2025,Jefferson County,Forest
2025,Jefferson County,Agriculture
2025,Skagit County,Open Space
2025,Skagit County,Low Intensity
2025,Skagit County,Medium Intensity
2025,Skagit County,High Intensity
2025,Skagit County,Forest
2025,Skagit County,Agriculture
2025,San Juan County,Open Space
2025,San Juan County,Low Intensity
2025,San Juan County,Medium Intensity
2025,San Juan County,High Intensity
2025,San Juan County,Forest
2025,San Juan County,Agriculture
2025,Mason County,Open Space
2025,Mason County,Low Intensity
2025,Mason County,Medium Intensity
2025,Mason County,High Intensity
2025,Mason County,Forest
2025,Mason County,Agriculture
2025,Kitsap County,Open Space
2025,Kitsap County,Low Intensity
2025,Kitsap County,Medium Intensity
2025,Kitsap County,High Intensity
2025,Kitsap County,Forest
2025,Kitsap County,Agriculture
2035,Island County,Open Space
2035,Island County,Low Intensity
2035,Island County,Medium Intensity
2035,Island County,High Intensity
2035,Island County,Forest
2035,Island County,Agriculture
2035,Clallam County,Open Space
2035,Clallam County,Low Intensity
2035,Clallam County,Medium Intensity
2035,Clallam County,High Intensity
2035,Clallam County,Forest
2035,Clallam County,Agriculture
2035,King County,Open Space
2035,King County,Low Intensity
2035,King County,Medium Intensity
2035,King County,High Intensity
2035,King County,Forest
2035,King County,Agriculture
2035,Snohomish County,Open Space
2035,Snohomish County,Low Intensity
2035,Snohomish County,Medium Intensity
2035,Snohomish County,High Intensity
2035,Snohomish County,Forest
2035,Snohomish County,Agriculture
2035,Whatcom County,Open Space
2035,Whatcom County,Low Intensity
2035,Whatcom County,Medium Intensity
2035,Whatcom County,High Intensity
2035,Whatcom County,Forest
2035,Whatcom County,Agriculture
2035,Pierce County,Open Space
2035,Pierce County,Low Intensity
2035,Pierce County,Medium Intensity
2035,Pierce County,High Intensity
2035,Pierce County,Forest
2035,Pierce County,Agriculture
