Year,Feature_Name,Landcover_Class,Developable_Area_km2,Proportion,diff_prop,diff_dev
2011,Island County,Open Space,55.8693,0.13939707,,
2011,Island County,Low Intensity,27.7308,0.069189917,,
2011,Island County,Medium Intensity,9.6345,0.024038623,,
2011,Island County,High Intensity,1.1187,0.00279122,,
2011,Island County,Forest,235.71,0.588109807,,
2011,Island County,Agriculture,70.7292,0.176473362,,
2011,Clallam County,Open Space,29.7396,0.037020979,,
2011,Clallam County,Low Intensity,29.1843,0.03632972,,
2011,Clallam County,Medium Intensity,10.917,0.013589894,,
2011,Clallam County,High Intensity,1.8549,0.00230905,,
2011,Clallam County,Forest,623.0214,0.775560597,,
2011,Clallam County,Agriculture,108.6003,0.13518976,,
2011,King County,Open Space,249.075,0.22343685,,
2011,King County,Low Intensity,232.6086,0.208665394,,
2011,King County,Medium Intensity,200.4426,0.179810351,,
2011,King County,High Intensity,68.463,0.061415867,,
2011,King County,Forest,246.2661,0.22091708,,
2011,King County,Agriculture,117.8892,0.105754458,,
2011,Snohomish County,Open Space,273.1608,0.148515975,,
2011,Snohomish County,Low Intensity,126.3069,0.068672344,,
2011,Snohomish County,Medium Intensity,93.537,0.050855536,,
2011,Snohomish County,High Intensity,29.6937,0.016144296,,
2011,Snohomish County,Forest,1020.4839,0.5548313,,
2011,Snohomish County,Agriculture,296.0865,0.160980548,,
2011,Whatcom County,Open Space,72.6516,0.076906441,,
2011,Whatcom County,Low Intensity,38.421,0.040671126,,
2011,Whatcom County,Medium Intensity,26.0721,0.027599013,,
2011,Whatcom County,High Intensity,13.5081,0.014299202,,
2011,Whatcom County,Forest,281.6622,0.298157748,,
2011,Whatcom County,Agriculture,512.3601,0.542366471,,
2011,Pierce County,Open Space,208.9053,0.098063504,,
2011,Pierce County,Low Intensity,184.1688,0.086451793,,
2011,Pierce County,Medium Intensity,115.6743,0.054299375,,
2011,Pierce County,High Intensity,38.3454,0.017999947,,
2011,Pierce County,Forest,1391.2047,0.653053835,,
2011,Pierce County,Agriculture,192.0078,0.090131546,,
2011,Thurston County,Open Space,85.9248,0.159155279,,
2011,Thurston County,Low Intensity,57.0015,0.105581737,,
2011,Thurston County,Medium Intensity,33.3873,0.061842042,,
2011,Thurston County,High Intensity,7.8759,0.014588234,,
2011,Thurston County,Forest,236.3796,0.437837054,,
2011,Thurston County,Agriculture,119.3112,0.220995654,,
2011,Jefferson County,Open Space,22.3839,0.102760838,,
2011,Jefferson County,Low Intensity,11.8242,0.054282976,,
2011,Jefferson County,Medium Intensity,3.6162,0.016601385,,
2011,Jefferson County,High Intensity,0.6543,0.003003785,,
2011,Jefferson County,Forest,153.9054,0.706554614,,
2011,Jefferson County,Agriculture,25.4412,0.116796404,,
2011,Skagit County,Open Space,49.86,0.070948235,,
2011,Skagit County,Low Intensity,30.186,0.042953137,,
2011,Skagit County,Medium Intensity,19.746,0.02809755,,
2011,Skagit County,High Intensity,10.9116,0.01552665,,
2011,Skagit County,Forest,217.5462,0.309557137,,
2011,Skagit County,Agriculture,374.5161,0.532917292,,
2011,San Juan County,Open Space,14.4135,0.043811415,,
2011,San Juan County,Low Intensity,5.8212,0.017694176,,
2011,San Juan County,Medium Intensity,1.1448,0.003479745,,
2011,San Juan County,High Intensity,0.1305,0.000396669,,
2011,San Juan County,Forest,233.8596,0.710841923,,
2011,San Juan County,Agriculture,73.62,0.223776071,,
2011,Mason County,Open Space,42.9948,0.041649775,,
2011,Mason County,Low Intensity,25.8435,0.025035026,,
2011,Mason County,Medium Intensity,5.4936,0.005321741,,
2011,Mason County,High Intensity,0.9198,0.000891025,,
2011,Mason County,Forest,924.7329,0.895804072,,
2011,Mason County,Agriculture,32.3091,0.03129836,,
2011,Kitsap County,Open Space,135.5787,0.237374,,
2011,Kitsap County,Low Intensity,65.2257,0.114198508,,
2011,Kitsap County,Medium Intensity,24.2109,0.042388946,,
2011,Kitsap County,High Intensity,4.8249,0.008447535,,
2011,Kitsap County,Forest,327.1032,0.572699067,,
2011,Kitsap County,Agriculture,14.2173,0.024891944,,
2012,Island County,Open Space,56.0025,0.139795962,,
2012,Island County,Low Intensity,27.8253,0.069458767,,
2012,Island County,Medium Intensity,9.6435,0.024072539,,
2012,Island County,High Intensity,1.1439,0.002855455,,
2012,Island County,Forest,235.5093,0.587888918,,
2012,Island County,Agriculture,70.4772,0.17592836,,
2012,Clallam County,Open Space,30.879,0.038432802,,
2012,Clallam County,Low Intensity,28.6614,0.03567272,,
2012,Clallam County,Medium Intensity,11.1087,0.013826175,,
2012,Clallam County,High Intensity,1.8612,0.002316498,,
2012,Clallam County,Forest,623.4471,0.775958384,,
2012,Clallam County,Agriculture,107.4969,0.133793422,,
2012,King County,Open Space,248.6439,0.223065793,,
2012,King County,Low Intensity,233.4177,0.209405919,,
2012,King County,Medium Intensity,200.6262,0.179987695,,
2012,King County,High Intensity,68.6898,0.06162365,,
2012,King County,Forest,245.736,0.22045703,,
2012,King County,Agriculture,117.5526,0.105459913,,
2012,Snohomish County,Open Space,274.248,0.1491019,,
2012,Snohomish County,Low Intensity,127.1088,0.069105932,,
2012,Snohomish County,Medium Intensity,93.9159,0.051059767,,
2012,Snohomish County,High Intensity,29.8971,0.016254319,,
2012,Snohomish County,Forest,1020.1338,0.554621684,,
2012,Snohomish County,Agriculture,294.0291,0.159856398,,
2012,Whatcom County,Open Space,72.9576,0.077218518,,
2012,Whatcom County,Low Intensity,38.7108,0.040971614,,
2012,Whatcom County,Medium Intensity,26.226,0.027757668,,
2012,Whatcom County,High Intensity,13.4946,0.014282721,,
2012,Whatcom County,Forest,281.4507,0.297888169,,
2012,Whatcom County,Agriculture,511.9803,0.541881311,,
2012,Pierce County,Open Space,209.862,0.098546067,,
2012,Pierce County,Low Intensity,184.8249,0.086789257,,
2012,Pierce County,Medium Intensity,115.9353,0.054440384,,
2012,Pierce County,High Intensity,38.5893,0.018120592,,
2012,Pierce County,Forest,1388.1933,0.651861653,,
2012,Pierce County,Agriculture,192.1779,0.090242046,,
2012,Thurston County,Open Space,86.7258,0.160682871,,
2012,Thurston County,Low Intensity,57.402,0.106352645,,
2012,Thurston County,Medium Intensity,33.4143,0.061908978,,
2012,Thurston County,High Intensity,8.0379,0.014892372,,
2012,Thurston County,Forest,235.3131,0.435980811,,
2012,Thurston County,Agriculture,118.8396,0.220182324,,
2012,Jefferson County,Open Space,22.4262,0.102947374,,
2012,Jefferson County,Low Intensity,11.9232,0.054733398,,
2012,Jefferson County,Medium Intensity,3.6504,0.016757145,,
2012,Jefferson County,High Intensity,0.6183,0.002838303,,
2012,Jefferson County,Forest,153.9747,0.706820191,,
2012,Jefferson County,Agriculture,25.2486,0.115903589,,
2012,Skagit County,Open Space,50.3631,0.07164577,,
2012,Skagit County,Low Intensity,30.2517,0.043035602,,
2012,Skagit County,Medium Intensity,19.8288,0.028208145,,
2012,Skagit County,High Intensity,10.9287,0.015547,,
2012,Skagit County,Forest,217.9287,0.310022009,,
2012,Skagit County,Agriculture,373.6449,0.531541474,,
2012,San Juan County,Open Space,14.5782,0.044310827,,
2012,San Juan County,Low Intensity,5.9121,0.017969985,,
2012,San Juan County,Medium Intensity,1.1511,0.003498799,,
2012,San Juan County,High Intensity,0.1305,0.000396658,,
2012,San Juan County,Forest,234.4464,0.712606072,,
2012,San Juan County,Agriculture,72.7803,0.221217659,,
2012,Mason County,Open Space,43.4097,0.042073594,,
2012,Mason County,Low Intensity,25.7751,0.024981769,,
2012,Mason County,Medium Intensity,5.7969,0.005618477,,
2012,Mason County,High Intensity,0.9198,0.00089149,,
2012,Mason County,Forest,923.8554,0.895420082,,
2012,Mason County,Agriculture,31.9995,0.031014588,,
2012,Kitsap County,Open Space,135.774,0.237756771,,
2012,Kitsap County,Low Intensity,65.8269,0.1152709,,
2012,Kitsap County,Medium Intensity,24.3027,0.042556981,,
2012,Kitsap County,High Intensity,4.815,0.00843165,,
2012,Kitsap County,Forest,326.2383,0.571282903,,
2012,Kitsap County,Agriculture,14.1057,0.024700795,,
2013,Island County,Open Space,56.2626,0.140406436,,
2013,Island County,Low Intensity,28.1475,0.070243646,,
2013,Island County,Medium Intensity,9.6075,0.023976049,,
2013,Island County,High Intensity,1.1853,0.002957982,,
2013,Island County,Forest,235.458,0.587598487,,
