Year,Feature_Name,Landcover_Class,Developable_Area_km2,Proportion,diff_prop,diff_dev
2011,Nooksack,Open Space,70.8966,0.074844371,,
2011,Nooksack,Low Intensity,37.9539,0.040067306,,
2011,Nooksack,Medium Intensity,26.0775,0.027529587,,
2011,Nooksack,High Intensity,13.5081,0.014260278,,
2011,Nooksack,Forest,280.575,0.296198399,,
2011,Nooksack,Agriculture,518.2425,0.547100059,,
2011,Upper Skagit,Open Space,5.2821,0.064130862,,
2011,Upper Skagit,Low Intensity,2.5056,0.03042091,,
2011,Upper Skagit,Medium Intensity,0.5922,0.00719,,
2011,Upper Skagit,High Intensity,0.1152,0.001398663,,
2011,Upper Skagit,Forest,53.4879,0.649405568,,
2011,Upper Skagit,Agriculture,20.3814,0.247453997,,
2011,San Juan,Open Space,14.4135,0.043811415,,
2011,San Juan,Low Intensity,5.8212,0.017694176,,
2011,San Juan,Medium Intensity,1.1448,0.003479745,,
2011,San Juan,High Intensity,0.1305,0.000396669,,
2011,San Juan,Forest,233.8596,0.710841923,,
2011,San Juan,Agriculture,73.62,0.223776071,,
2011,Lower Skagit - Samish,Open Space,48.6792,0.074204661,,
2011,Lower Skagit - Samish,Low Intensity,29.3337,0.04471514,,
2011,Lower Skagit - Samish,Medium Intensity,19.5426,0.029789972,,
2011,Lower Skagit - Samish,High Intensity,10.9062,0.016624983,,
2011,Lower Skagit - Samish,Forest,184.5963,0.281391351,,
2011,Lower Skagit - Samish,Agriculture,362.9547,0.553273892,,
2011,Lyre - Hoko,Open Space,3.4452,0.00733308,,
2011,Lyre - Hoko,Low Intensity,1.2564,0.002674237,,
2011,Lyre - Hoko,Medium Intensity,0.5022,0.001068929,,
2011,Lyre - Hoko,High Intensity,0.0126,2.68e-05,,
2011,Lyre - Hoko,Forest,455.0004,0.968464689,,
2011,Lyre - Hoko,Agriculture,9.5994,0.020432246,,
2011,Stillaguamish,Open Space,50.2794,0.082479737,,
2011,Stillaguamish,Low Intensity,10.5741,0.01734605,,
2011,Stillaguamish,Medium Intensity,5.3604,0.00879335,,
2011,Stillaguamish,High Intensity,0.9513,0.001560539,,
2011,Stillaguamish,Forest,410.2731,0.673023489,,
2011,Stillaguamish,Agriculture,132.1587,0.216796835,,
2011,Island,Open Space,55.8693,0.13939707,,
2011,Island,Low Intensity,27.7308,0.069189917,,
2011,Island,Medium Intensity,9.6345,0.024038623,,
2011,Island,High Intensity,1.1187,0.00279122,,
2011,Island,Forest,235.71,0.588109807,,
2011,Island,Agriculture,70.7292,0.176473362,,
2011,Quilcene - Snow,Open Space,21.6441,0.089236615,,
2011,Quilcene - Snow,Low Intensity,13.1976,0.05441248,,
2011,Quilcene - Snow,Medium Intensity,3.9303,0.016204262,,
2011,Quilcene - Snow,High Intensity,0.6543,0.002697618,,
2011,Quilcene - Snow,Forest,169.6086,0.699280511,,
2011,Quilcene - Snow,Agriculture,33.5124,0.138168514,,
2011,Elwha - Dungeness,Open Space,24.2658,0.084153162,,
2011,Elwha - Dungeness,Low Intensity,25.7751,0.089387375,,
2011,Elwha - Dungeness,Medium Intensity,9.99,0.03464506,,
2011,Elwha - Dungeness,High Intensity,1.8423,0.006389048,,
2011,Elwha - Dungeness,Forest,136.197,0.472327649,,
2011,Elwha - Dungeness,Agriculture,90.2826,0.313097705,,
2011,Kitsap,Open Space,209.4264,0.199891419,,
2011,Kitsap,Low Intensity,98.1315,0.093663668,,
2011,Kitsap,Medium Intensity,30.015,0.028648446,,
2011,Kitsap,High Intensity,6.0129,0.005739139,,
2011,Kitsap,Forest,671.5683,0.640992447,,
2011,Kitsap,Agriculture,32.5467,0.03106488,,
2011,Skokomish - Dosewallips,Open Space,6.7428,0.030828358,,
2011,Skokomish - Dosewallips,Low Intensity,3.0888,0.01412212,,
2011,Skokomish - Dosewallips,Medium Intensity,0.3231,0.001477226,,
2011,Skokomish - Dosewallips,High Intensity,0.0018,8.23e-06,,
2011,Skokomish - Dosewallips,Forest,198.5292,0.907683635,,
2011,Skokomish - Dosewallips,Agriculture,10.035,0.045880431,,
2011,Kennedy - Goldsborough,Open Space,39.2022,0.056059491,,
2011,Kennedy - Goldsborough,Low Intensity,21.5532,0.030821265,,
2011,Kennedy - Goldsborough,Medium Intensity,4.4406,0.006350097,,
2011,Kennedy - Goldsborough,High Intensity,0.7515,0.001074652,,
2011,Kennedy - Goldsborough,Forest,608.0994,0.869587488,,
2011,Kennedy - Goldsborough,Agriculture,25.2495,0.036107007,,
2011,Chambers - Clover,Open Space,41.4918,0.198607653,,
2011,Chambers - Clover,Low Intensity,66.015,0.315992177,,
2011,Chambers - Clover,Medium Intensity,58.2525,0.278835632,,
2011,Chambers - Clover,High Intensity,13.9662,0.066851624,,
2011,Chambers - Clover,Forest,21.5739,0.103267191,,
2011,Chambers - Clover,Agriculture,7.614,0.036445723,,
2011,Deschutes,Open Space,66.2328,0.20328271,,
2011,Deschutes,Low Intensity,42.462,0.130325011,,
2011,Deschutes,Medium Intensity,28.5966,0.087769116,,
2011,Deschutes,High Intensity,7.497,0.023009906,,
2011,Deschutes,Forest,123.1605,0.378006066,,
2011,Deschutes,Agriculture,57.8673,0.177607191,,
2011,Nisqually,Open Space,49.3614,0.060494425,,
2011,Nisqually,Low Intensity,30.8718,0.03783466,,
2011,Nisqually,Medium Intensity,7.1883,0.008809557,,
2011,Nisqually,High Intensity,0.432,0.000529434,,
2011,Nisqually,Forest,555.9021,0.681280877,,
2011,Nisqually,Agriculture,172.2105,0.211051047,,
2011,Snohomish,Open Space,201.9699,0.170701355,,
2011,Snohomish,Low Intensity,70.5906,0.059661915,,
2011,Snohomish,Medium Intensity,48.7746,0.041223421,,
2011,Snohomish,High Intensity,16.7868,0.014187904,,
2011,Snohomish,Forest,665.3277,0.562323098,,
2011,Snohomish,Agriculture,179.7273,0.151902306,,
2011,Cedar - Sammamish,Open Space,178.5924,0.270309737,,
2011,Cedar - Sammamish,Low Intensity,189.0819,0.286186191,,
2011,Cedar - Sammamish,Medium Intensity,154.9827,0.234575116,,
